epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38766.4,1.9127,7.10802,2.072,0,0,0,0,1.8521,7.65428,2.19291,2.65823e-06,2.65823e-06,2.65823e-06
2,42802,1.45726,6.81308,1.70815,0.01237,0.00778,0.00798,0.00638,1.10766,6.80456,1.4293,5.27218e-06,5.27218e-06,5.27218e-06
3,47068.3,1.18648,6.17584,1.46832,0.06916,0.48353,0.08046,0.06195,0.93734,5.83298,1.29679,7.83333e-06,7.83333e-06,7.83333e-06
4,51100.4,1.15542,5.32648,1.47646,0.27043,0.28992,0.19109,0.14598,0.89987,5.04916,1.31097,7.7624e-06,7.7624e-06,7.7624e-06
5,54412.3,1.17221,4.73518,1.50901,0.31204,0.38964,0.28399,0.21513,0.88542,4.48366,1.3501,7.6832e-06,7.6832e-06,7.6832e-06
6,76771,1.15708,4.31924,1.51236,0.37483,0.43519,0.37496,0.28582,0.86828,4.08006,1.3618,7.604e-06,7.604e-06,7.604e-06
7,79902.6,1.14097,4.03917,1.49868,0.4307,0.51334,0.46093,0.35593,0.835,3.75649,1.34383,7.5248e-06,7.5248e-06,7.5248e-06
8,83461.8,1.13259,3.82853,1.50082,0.47374,0.56979,0.52487,0.40848,0.81446,3.54993,1.32694,7.4456e-06,7.4456e-06,7.4456e-06
9,86625.9,1.09602,3.62156,1.46971,0.52737,0.6281,0.59684,0.47012,0.78644,3.32329,1.31119,7.3664e-06,7.3664e-06,7.3664e-06
10,91247.4,1.09158,3.45765,1.46973,0.58865,0.65614,0.6619,0.52592,0.76468,3.16876,1.28479,7.2872e-06,7.2872e-06,7.2872e-06
11,96950.1,1.06051,3.32277,1.44895,0.63926,0.6887,0.70863,0.56694,0.75051,3.00241,1.27322,7.208e-06,7.208e-06,7.208e-06
12,102519,1.0493,3.1762,1.43181,0.67016,0.71846,0.74344,0.60002,0.73288,2.88291,1.25293,7.1288e-06,7.1288e-06,7.1288e-06
13,123460,1.01144,3.03557,1.39807,0.71966,0.7309,0.78096,0.63572,0.71819,2.71705,1.23488,7.0496e-06,7.0496e-06,7.0496e-06
14,127609,1.01683,2.9473,1.40531,0.73189,0.7755,0.80441,0.65831,0.70026,2.6384,1.21851,6.9704e-06,6.9704e-06,6.9704e-06
15,135207,1.00611,2.86415,1.39881,0.74406,0.78574,0.82611,0.6808,0.68527,2.5101,1.19757,6.8912e-06,6.8912e-06,6.8912e-06
16,140313,0.97339,2.74596,1.36747,0.75778,0.80944,0.84519,0.69712,0.6798,2.4403,1.19172,6.812e-06,6.812e-06,6.812e-06
17,161930,0.96742,2.67695,1.36145,0.77887,0.82532,0.85625,0.7087,0.66974,2.30261,1.17976,6.7328e-06,6.7328e-06,6.7328e-06
18,194815,0.95343,2.57711,1.35631,0.81151,0.81194,0.87441,0.72781,0.66044,2.22978,1.17048,6.6536e-06,6.6536e-06,6.6536e-06
19,203793,0.94377,2.50309,1.34229,0.82373,0.83171,0.88534,0.73897,0.65124,2.15898,1.15688,6.5744e-06,6.5744e-06,6.5744e-06
20,208132,0.93152,2.44876,1.33367,0.84895,0.84206,0.89716,0.74952,0.64572,2.09381,1.15173,6.4952e-06,6.4952e-06,6.4952e-06
21,212440,0.9246,2.38024,1.32622,0.83842,0.86976,0.90496,0.75685,0.63987,1.99114,1.14135,6.416e-06,6.416e-06,6.416e-06
22,216823,0.90427,2.30629,1.30589,0.8608,0.86871,0.912,0.76455,0.62957,1.9341,1.13164,6.3368e-06,6.3368e-06,6.3368e-06
23,221271,0.89227,2.28055,1.29562,0.87198,0.87964,0.91846,0.77504,0.62214,1.87704,1.11968,6.2576e-06,6.2576e-06,6.2576e-06
24,231158,0.87895,2.20868,1.28702,0.87114,0.88889,0.92664,0.78084,0.61653,1.8105,1.11351,6.1784e-06,6.1784e-06,6.1784e-06
25,253566,0.86644,2.14503,1.2714,0.89264,0.88023,0.93037,0.78649,0.60951,1.77099,1.10485,6.0992e-06,6.0992e-06,6.0992e-06
26,279663,0.86109,2.10843,1.27237,0.88879,0.89615,0.93689,0.79357,0.60632,1.73327,1.10366,6.02e-06,6.02e-06,6.02e-06
27,296284,0.85084,2.04969,1.25299,0.89819,0.90651,0.94066,0.80024,0.59711,1.68645,1.09258,5.9408e-06,5.9408e-06,5.9408e-06
28,300360,0.85415,2.0234,1.2561,0.90008,0.90551,0.94257,0.80351,0.59429,1.6399,1.09068,5.8616e-06,5.8616e-06,5.8616e-06
29,304337,0.84176,1.99292,1.25354,0.90505,0.91098,0.94818,0.808,0.59075,1.59181,1.08424,5.7824e-06,5.7824e-06,5.7824e-06
