epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,604.929,1.2938,4.35524,1.55322,0.29838,0.57532,0.34504,0.27246,0.77034,3.35828,1.14712,0.000100047,0.000100047,0.000100047
2,1168.58,0.93765,2.7207,1.28781,0.57119,0.74573,0.70953,0.54826,0.79551,2.46732,1.14556,0.000199057,0.000199057,0.000199057
3,1734.27,0.83669,2.07979,1.18455,0.76111,0.84596,0.86358,0.7357,0.60224,1.69674,1.0019,0.000296067,0.000296067,0.000296067
4,2432.5,0.79697,1.8305,1.15648,0.84727,0.9195,0.93228,0.81511,0.54455,1.45691,0.95435,0.000294001,0.000294001,0.000294001
5,3065.28,0.75278,1.54657,1.10937,0.89838,0.88089,0.93368,0.815,0.55241,1.2818,0.95548,0.000291001,0.000291001,0.000291001
6,3696.29,0.75396,1.45286,1.11848,0.92822,0.91107,0.97027,0.85626,0.51382,1.15764,0.9353,0.000288001,0.000288001,0.000288001
7,4259.83,0.71398,1.29505,1.08811,0.864,0.92007,0.94985,0.83934,0.51586,1.15693,0.94732,0.000285002,0.000285002,0.000285002
8,4844.54,0.70678,1.20327,1.08195,0.96872,0.96744,0.99241,0.88426,0.48901,0.87759,0.916,0.000282002,0.000282002,0.000282002
9,5420.07,0.67073,1.11699,1.05903,0.95339,0.95686,0.98111,0.87909,0.48939,0.83014,0.91673,0.000279002,0.000279002,0.000279002
10,6055.6,0.66762,1.05294,1.04596,0.92842,0.96879,0.98621,0.88401,0.48601,0.77581,0.91904,0.000276003,0.000276003,0.000276003
11,6668.1,0.65583,1.01021,1.04673,0.98624,0.98297,0.99421,0.90152,0.44502,0.68111,0.89342,0.000273003,0.000273003,0.000273003
12,7182.55,0.64322,0.96237,1.03154,0.98493,0.98082,0.99268,0.89873,0.44441,0.62779,0.89057,0.000270003,0.000270003,0.000270003
13,7697.13,0.65001,0.94843,1.03869,0.96303,0.98389,0.99337,0.90124,0.46168,0.6314,0.90132,0.000267004,0.000267004,0.000267004
14,8214.57,0.63971,0.87741,1.03153,0.98787,0.97774,0.99335,0.90349,0.44673,0.56957,0.89363,0.000264004,0.000264004,0.000264004
15,9653.75,0.61312,0.83582,1.0156,0.98646,0.98375,0.99421,0.91456,0.42556,0.52695,0.88086,0.000261004,0.000261004,0.000261004
16,10174.4,0.62383,0.80421,1.01356,0.99033,0.99055,0.99455,0.90792,0.42527,0.48499,0.87993,0.000258004,0.000258004,0.000258004
17,10696.3,0.61265,0.79771,1.02254,0.98807,0.98559,0.99489,0.91372,0.41513,0.48534,0.87531,0.000255005,0.000255005,0.000255005
18,11216.9,0.60077,0.78188,1.00965,0.98705,0.99182,0.99458,0.91314,0.41946,0.48154,0.87613,0.000252005,0.000252005,0.000252005
19,11924.1,0.593,0.75663,1.00137,0.99155,0.99355,0.99483,0.90979,0.41568,0.43464,0.87116,0.000249005,0.000249005,0.000249005
20,12623.9,0.59499,0.72953,1.00591,0.99288,0.99034,0.99459,0.91645,0.41045,0.43271,0.87411,0.000246006,0.000246006,0.000246006
21,13335.3,0.59848,0.7097,1.00039,0.99336,0.98594,0.99466,0.92286,0.39806,0.40646,0.86565,0.000243006,0.000243006,0.000243006
22,14041.8,0.59105,0.69554,1.00622,0.99229,0.99315,0.9946,0.91701,0.40736,0.39409,0.87224,0.000240006,0.000240006,0.000240006
23,14721.2,0.57052,0.66766,0.99259,0.99041,0.99579,0.99454,0.92185,0.3934,0.38535,0.85992,0.000237007,0.000237007,0.000237007
24,15267.9,0.56588,0.65893,0.99346,0.99599,0.99068,0.99494,0.92587,0.38146,0.36208,0.85843,0.000234007,0.000234007,0.000234007
25,15819.9,0.57261,0.65689,0.99086,0.99352,0.9964,0.99462,0.9254,0.37729,0.34488,0.85625,0.000231007,0.000231007,0.000231007
26,16448.5,0.56089,0.63821,0.98981,0.98974,0.99843,0.99489,0.92378,0.39176,0.36024,0.858,0.000228007,0.000228007,0.000228007
27,17037.1,0.57499,0.64101,0.99878,0.99313,0.99463,0.99483,0.91265,0.42116,0.35334,0.87729,0.000225008,0.000225008,0.000225008
28,17649.8,0.55446,0.61279,0.99035,0.99429,0.99657,0.99495,0.93502,0.35925,0.32419,0.84093,0.000222008,0.000222008,0.000222008
29,18291.5,0.53729,0.62076,0.97955,0.99567,0.99793,0.995,0.93109,0.37048,0.32149,0.84892,0.000219008,0.000219008,0.000219008
30,18925.5,0.5466,0.62971,0.98291,0.99435,0.99216,0.9949,0.93265,0.36168,0.32313,0.84617,0.000216009,0.000216009,0.000216009
31,19540.8,0.53719,0.5933,0.97756,0.99779,0.99901,0.99494,0.93377,0.36488,0.29905,0.84548,0.000213009,0.000213009,0.000213009
32,20172.5,0.54411,0.56137,0.97762,0.99699,0.99753,0.995,0.93364,0.36541,0.30563,0.84335,0.000210009,0.000210009,0.000210009
33,20816.8,0.52746,0.5667,0.97212,0.99663,0.99888,0.995,0.93611,0.36042,0.28612,0.84578,0.00020701,0.00020701,0.00020701
34,21464.8,0.52937,0.56778,0.9734,0.99647,0.99803,0.995,0.93875,0.35393,0.27951,0.83711,0.00020401,0.00020401,0.00020401
35,22036.2,0.52689,0.54988,0.96855,0.98802,0.99826,0.99493,0.94,0.34599,0.28626,0.83363,0.00020101,0.00020101,0.00020101
