epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3195.47,1.9127,7.10802,2.072,0,0,0,0,1.8521,7.65428,2.19291,2.65823e-06,2.65823e-06,2.65823e-06
2,26801.4,1.45726,6.81308,1.70815,0.01237,0.00778,0.00798,0.00638,1.10766,6.80456,1.4293,5.27218e-06,5.27218e-06,5.27218e-06
3,35118.3,1.18648,6.17584,1.46832,0.06916,0.48353,0.08046,0.06195,0.93734,5.83298,1.29679,7.83333e-06,7.83333e-06,7.83333e-06
