epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4383.19,1.9127,7.10802,2.072,0,0,0,0,1.8521,7.65428,2.19291,2.65823e-06,2.65823e-06,2.65823e-06
2,28785.2,1.45726,6.81308,1.70815,0.01237,0.00778,0.00798,0.00638,1.10766,6.80456,1.4293,5.27218e-06,5.27218e-06,5.27218e-06
3,69868.7,1.18648,6.17584,1.46832,0.06916,0.48353,0.08046,0.06195,0.93734,5.83298,1.29679,7.83333e-06,7.83333e-06,7.83333e-06
4,77613.6,1.15542,5.32648,1.47646,0.27043,0.28992,0.19109,0.14598,0.89987,5.04916,1.31097,7.7624e-06,7.7624e-06,7.7624e-06
5,81961.3,1.17221,4.73518,1.50901,0.31204,0.38964,0.28399,0.21513,0.88542,4.48366,1.3501,7.6832e-06,7.6832e-06,7.6832e-06
6,86401,1.15708,4.31924,1.51236,0.37483,0.43519,0.37496,0.28582,0.86828,4.08006,1.3618,7.604e-06,7.604e-06,7.604e-06
7,89957.3,1.14097,4.03917,1.49868,0.4307,0.51334,0.46093,0.35593,0.835,3.75649,1.34383,7.5248e-06,7.5248e-06,7.5248e-06
8,93860.3,1.13259,3.82853,1.50082,0.47374,0.56979,0.52487,0.40848,0.81446,3.54993,1.32694,7.4456e-06,7.4456e-06,7.4456e-06
9,117137,1.09602,3.62156,1.46971,0.52737,0.6281,0.59684,0.47012,0.78644,3.32329,1.31119,7.3664e-06,7.3664e-06,7.3664e-06
10,120601,1.09158,3.45765,1.46973,0.58865,0.65614,0.6619,0.52592,0.76468,3.16876,1.28479,7.2872e-06,7.2872e-06,7.2872e-06
11,124038,1.06051,3.32277,1.44895,0.63926,0.6887,0.70863,0.56694,0.75051,3.00241,1.27322,7.208e-06,7.208e-06,7.208e-06
12,128434,1.0493,3.1762,1.43181,0.67016,0.71846,0.74344,0.60002,0.73288,2.88291,1.25293,7.1288e-06,7.1288e-06,7.1288e-06
13,132777,1.01144,3.03557,1.39807,0.71966,0.7309,0.78096,0.63572,0.71819,2.71705,1.23488,7.0496e-06,7.0496e-06,7.0496e-06
14,136898,1.01683,2.9473,1.40531,0.73189,0.7755,0.80441,0.65831,0.70026,2.6384,1.21851,6.9704e-06,6.9704e-06,6.9704e-06
