epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.113,1.28718,4.36433,1.56318,0.29097,0.44571,0.32887,0.26136,0.73159,3.5934,1.13479,0.000100047,0.000100047,0.000100047
2,1084.17,0.94155,2.72283,1.31335,0.5232,0.76659,0.72464,0.59926,0.65368,2.38556,1.07767,0.000199057,0.000199057,0.000199057
3,1765.88,0.8715,2.18923,1.23454,0.66166,0.86631,0.81719,0.69793,0.59915,1.92805,0.99775,0.000296067,0.000296067,0.000296067
4,2468.26,0.81973,1.84762,1.17764,0.7336,0.93574,0.84616,0.72806,0.57328,1.68945,0.97392,0.000294001,0.000294001,0.000294001
5,3060.02,0.77477,1.63395,1.13726,0.8886,0.90124,0.95199,0.79331,0.68481,1.37306,1.07646,0.000291001,0.000291001,0.000291001
6,3870.53,0.74292,1.46867,1.10855,0.94569,0.93712,0.97712,0.85432,0.55003,1.13813,0.9568,0.000288001,0.000288001,0.000288001
7,4387.03,0.7161,1.30309,1.08743,0.9396,0.95344,0.97684,0.86701,0.50017,1.02764,0.92616,0.000285002,0.000285002,0.000285002
