epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,163102,0.55678,0.51618,0.98538,0.9945,0.99589,0.99447,0.90152,0.4068,0.22502,0.88271,0.000180012,0.000180012,0.000180012
43,164707,0.55603,0.5166,0.98275,0.99268,0.99657,0.99459,0.90812,0.39368,0.22321,0.876,0.000177013,0.000177013,0.000177013
44,166268,0.55122,0.51774,0.9844,0.99496,0.99576,0.99443,0.90759,0.39241,0.21801,0.8747,0.000174013,0.000174013,0.000174013
45,167630,0.55325,0.49785,0.98319,0.99416,0.99711,0.99468,0.90753,0.39765,0.22456,0.87683,0.000171013,0.000171013,0.000171013
46,169240,0.54749,0.49962,0.97651,0.99578,0.9976,0.99442,0.90649,0.39731,0.21832,0.8799,0.000168013,0.000168013,0.000168013
47,171916,0.55085,0.50576,0.98529,0.9937,0.99695,0.99456,0.90863,0.39046,0.21635,0.87262,0.000165014,0.000165014,0.000165014
48,173698,0.54964,0.50086,0.9834,0.9941,0.99605,0.99441,0.90751,0.39145,0.22204,0.8762,0.000162014,0.000162014,0.000162014
49,175039,0.54117,0.48978,0.97373,0.99459,0.99817,0.9944,0.90932,0.3889,0.20924,0.87099,0.000159014,0.000159014,0.000159014
50,176270,0.54044,0.49238,0.97746,0.9957,0.99768,0.99446,0.91456,0.38237,0.20864,0.86814,0.000156015,0.000156015,0.000156015
51,188057,0.53798,0.48378,0.97578,0.99551,0.99687,0.99455,0.90844,0.39362,0.21525,0.8767,0.000153015,0.000153015,0.000153015
52,189380,0.53704,0.48153,0.97496,0.99313,0.99666,0.99452,0.90955,0.38744,0.20862,0.87295,0.000150015,0.000150015,0.000150015
53,190678,0.54053,0.49459,0.97814,0.99501,0.99826,0.99461,0.91151,0.38333,0.20691,0.86975,0.000147016,0.000147016,0.000147016
54,192018,0.52882,0.48027,0.97118,0.99317,0.99652,0.99421,0.91221,0.37151,0.20257,0.86587,0.000144016,0.000144016,0.000144016
