epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11324.6,1.91744,7.10017,2.06908,0,0,0,0,1.81863,7.61839,2.14221,2.65823e-06,2.65823e-06,2.65823e-06
2,14526.4,1.45203,6.80691,1.70555,0.0145,0.00637,0.00979,0.00816,1.11136,6.8149,1.42657,5.27218e-06,5.27218e-06,5.27218e-06
3,29817.2,1.19771,6.20116,1.47976,0.08839,0.44861,0.08852,0.07098,0.93583,5.82392,1.29229,7.83333e-06,7.83333e-06,7.83333e-06
4,60162.8,1.16801,5.36536,1.47822,0.28303,0.2708,0.18324,0.14027,0.88508,5.10847,1.29551,7.7624e-06,7.7624e-06,7.7624e-06
5,69494.2,1.16938,4.79993,1.50213,0.3142,0.35014,0.27502,0.20877,0.87325,4.50441,1.34234,7.6832e-06,7.6832e-06,7.6832e-06
6,75574.6,1.1658,4.36021,1.52074,0.326,0.47464,0.36187,0.27692,0.8532,4.10592,1.34132,7.604e-06,7.604e-06,7.604e-06
7,79654.3,1.13759,4.06725,1.50019,0.40079,0.54178,0.45027,0.34821,0.82944,3.77177,1.33801,7.5248e-06,7.5248e-06,7.5248e-06
8,83443.3,1.12986,3.83527,1.49366,0.45519,0.60555,0.52662,0.41261,0.80363,3.56064,1.31845,7.4456e-06,7.4456e-06,7.4456e-06
9,86963.1,1.10182,3.65173,1.48357,0.51542,0.64989,0.59877,0.47183,0.78218,3.36647,1.29853,7.3664e-06,7.3664e-06,7.3664e-06
10,91495.2,1.0915,3.48427,1.47287,0.58112,0.66295,0.64778,0.51758,0.75314,3.18879,1.27212,7.2872e-06,7.2872e-06,7.2872e-06
11,116786,1.06816,3.33804,1.44848,0.63691,0.68096,0.70336,0.56326,0.74607,3.06575,1.26658,7.208e-06,7.208e-06,7.208e-06
12,143826,1.0489,3.20054,1.43537,0.67774,0.69767,0.74142,0.59932,0.72292,2.9249,1.24104,7.1288e-06,7.1288e-06,7.1288e-06
13,151939,1.04007,3.08281,1.42978,0.69445,0.74283,0.77265,0.63177,0.70637,2.78104,1.22213,7.0496e-06,7.0496e-06,7.0496e-06
14,161488,1.0149,2.9647,1.40531,0.74395,0.73181,0.80036,0.65483,0.69999,2.68008,1.21911,6.9704e-06,6.9704e-06,6.9704e-06
15,167727,0.98753,2.86774,1.3891,0.7567,0.76052,0.82201,0.67473,0.68547,2.53242,1.1992,6.8912e-06,6.8912e-06,6.8912e-06
16,171775,0.96377,2.76916,1.36546,0.79822,0.766,0.84424,0.69581,0.67866,2.45679,1.19112,6.812e-06,6.812e-06,6.812e-06
17,175467,0.96896,2.68562,1.36218,0.79659,0.79507,0.85965,0.71315,0.66406,2.35029,1.17622,6.7328e-06,6.7328e-06,6.7328e-06
18,212147,0.94725,2.59763,1.34742,0.8071,0.80487,0.86664,0.72239,0.65067,2.21605,1.16076,6.6536e-06,6.6536e-06,6.6536e-06
19,224534,0.936,2.5312,1.33694,0.81803,0.83677,0.88387,0.73586,0.64834,2.16723,1.1581,6.5744e-06,6.5744e-06,6.5744e-06
20,228465,0.92348,2.45633,1.32402,0.81699,0.84641,0.89483,0.74862,0.63589,2.09767,1.14535,6.4952e-06,6.4952e-06,6.4952e-06
21,239771,0.90835,2.38609,1.3106,0.84076,0.85649,0.90279,0.75683,0.62948,2.04098,1.13428,6.416e-06,6.416e-06,6.416e-06
22,246079,0.90653,2.3449,1.31235,0.86597,0.85033,0.91289,0.76846,0.62243,1.95657,1.12527,6.3368e-06,6.3368e-06,6.3368e-06
23,250130,0.8946,2.27365,1.30108,0.8716,0.86733,0.91972,0.77443,0.62035,1.90239,1.11909,6.2576e-06,6.2576e-06,6.2576e-06
24,254145,0.87841,2.22114,1.28432,0.89093,0.87282,0.92727,0.78585,0.60316,1.83761,1.10296,6.1784e-06,6.1784e-06,6.1784e-06
